COLUMN_RETICLE,ROW_RETICLE,INTRA_COL,INTRA_ROW,ABS_COL,ABS_ROW,DIE_ID,DIE_ID_4UP,DIE_ID_16UP,NOM_X_MM_1UP,NOM_Y_MM_1UP,EG_MOX_1UP,EG_MOY_1UP,ACCR_JY_1UP,ACCR_JX_1UP
5,4,2,7,38,22,2-7-5-4,T-2-7-5-4,T-2-7-5-4,-32.55,-48.825,26,-48,-48,-26
6,4,1,7,46,22,1-7-6-4,T-1-7-6-4,T-1-7-6-4,-23.87,-48.825,18,-48,-48,-18
6,4,2,7,47,22,2-7-6-4,T-2-7-6-4,T-2-7-6-4,-22.785,-48.825,17,-48,-48,-17
7,4,1,7,55,22,1-7-7-4,T-1-7-7-4,T-1-7-7-4,-14.105,-48.825,9,-48,-48,-9
7,4,2,7,56,22,2-7-7-4,T-2-7-7-4,T-2-7-7-4,-13.02,-48.825,8,-48,-48,-8
8,4,1,7,64,22,1-7-8-4,T-1-7-8-4,T-1-7-8-4,-4.34,-48.825,0,-48,-48,0
8,4,2,7,65,22,2-7-8-4,T-2-7-8-4,T-2-7-8-4,-3.255,-48.825,-1,-48,-48,1
9,4,1,7,73,22,1-7-9-4,T-1-7-9-4,T-1-7-9-4,5.425,-48.825,-9,-48,-48,9
9,4,2,7,74,22,2-7-9-4,T-2-7-9-4,T-2-7-9-4,6.51,-48.825,-10,-48,-48,10
10,4,1,7,82,22,1-7-10-4,T-1-7-10-4,T-1-7-10-4,15.19,-48.825,-18,-48,-48,18
10,4,2,7,83,22,2-7-10-4,T-2-7-10-4,T-2-7-10-4,16.275,-48.825,-19,-48,-48,19
11,4,1,7,91,22,1-7-11-4,T-1-7-11-4,T-1-7-11-4,24.955,-48.825,-27,-48,-48,27
11,4,2,7,92,22,2-7-11-4,T-2-7-11-4,T-2-7-11-4,26.04,-48.825,-28,-48,-48,28
12,4,1,7,100,22,1-7-12-4,T-1-7-12-4,T-1-7-12-4,34.72,-48.825,-36,-48,-48,36
12,4,2,7,101,22,2-7-12-4,T-2-7-12-4,T-2-7-12-4,35.805,-48.825,-37,-48,-48,37
13,4,1,7,109,22,1-7-13-4,T-1-7-13-4,T-1-7-13-4,44.485,-48.825,-45,-48,-48,45
13,4,2,7,110,22,2-7-13-4,T-2-7-13-4,T-2-7-13-4,45.57,-48.825,-46,-48,-48,46
3,5,1,7,19,29,1-7-3-5,T-1-7-3-5,T-1-7-3-5,-53.165,-41.23,45,-41,-41,-45
3,5,2,7,20,29,2-7-3-5,T-2-7-3-5,T-2-7-3-5,-52.08,-41.23,44,-41,-41,-44
4,5,1,7,28,29,1-7-4-5,T-1-7-4-5,T-1-7-4-5,-43.4,-41.23,36,-41,-41,-36
4,5,2,7,29,29,2-7-4-5,T-2-7-4-5,T-2-7-4-5,-42.315,-41.23,35,-41,-41,-35
5,5,1,7,37,29,1-7-5-5,T-1-7-5-5,T-1-7-5-5,-33.635,-41.23,27,-41,-41,-27
5,5,2,7,38,29,2-7-5-5,T-2-7-5-5,T-2-7-5-5,-32.55,-41.23,26,-41,-41,-26
6,5,1,7,46,29,1-7-6-5,T-1-7-6-5,T-1-7-6-5,-23.87,-41.23,18,-41,-41,-18
6,5,2,7,47,29,2-7-6-5,T-2-7-6-5,T-2-7-6-5,-22.785,-41.23,17,-41,-41,-17
7,5,1,7,55,29,1-7-7-5,T-1-7-7-5,T-1-7-7-5,-14.105,-41.23,9,-41,-41,-9
7,5,2,7,56,29,2-7-7-5,T-2-7-7-5,T-2-7-7-5,-13.02,-41.23,8,-41,-41,-8
8,5,1,7,64,29,1-7-8-5,T-1-7-8-5,T-1-7-8-5,-4.34,-41.23,0,-41,-41,0
8,5,2,7,65,29,2-7-8-5,T-2-7-8-5,T-2-7-8-5,-3.255,-41.23,-1,-41,-41,1
9,5,1,7,73,29,1-7-9-5,T-1-7-9-5,T-1-7-9-5,5.425,-41.23,-9,-41,-41,9
9,5,2,7,74,29,2-7-9-5,T-2-7-9-5,T-2-7-9-5,6.51,-41.23,-10,-41,-41,10
10,5,1,7,82,29,1-7-10-5,T-1-7-10-5,T-1-7-10-5,15.19,-41.23,-18,-41,-41,18
10,5,2,7,83,29,2-7-10-5,T-2-7-10-5,T-2-7-10-5,16.275,-41.23,-19,-41,-41,19
11,5,1,7,91,29,1-7-11-5,T-1-7-11-5,T-1-7-11-5,24.955,-41.23,-27,-41,-41,27
11,5,2,7,92,29,2-7-11-5,T-2-7-11-5,T-2-7-11-5,26.04,-41.23,-28,-41,-41,28
12,5,1,7,100,29,1-7-12-5,T-1-7-12-5,T-1-7-12-5,34.72,-41.23,-36,-41,-41,36
12,5,2,7,101,29,2-7-12-5,T-2-7-12-5,T-2-7-12-5,35.805,-41.23,-37,-41,-41,37
13,5,1,7,109,29,1-7-13-5,T-1-7-13-5,T-1-7-13-5,44.485,-41.23,-45,-41,-41,45
13,5,2,7,110,29,2-7-13-5,T-2-7-13-5,T-2-7-13-5,45.57,-41.23,-46,-41,-41,46
2,6,1,7,10,36,1-7-2-6,T-1-7-2-6,T-1-7-2-6,-62.93,-33.635,54,-34,-34,-54
2,6,2,7,11,36,2-7-2-6,T-2-7-2-6,T-2-7-2-6,-61.845,-33.635,53,-34,-34,-53
3,6,1,7,19,36,1-7-3-6,T-1-7-3-6,T-1-7-3-6,-53.165,-33.635,45,-34,-34,-45
3,6,2,7,20,36,2-7-3-6,T-2-7-3-6,T-2-7-3-6,-52.08,-33.635,44,-34,-34,-44
4,6,1,7,28,36,1-7-4-6,T-1-7-4-6,T-1-7-4-6,-43.4,-33.635,36,-34,-34,-36
4,6,2,7,29,36,2-7-4-6,T-2-7-4-6,T-2-7-4-6,-42.315,-33.635,35,-34,-34,-35
5,6,1,7,37,36,1-7-5-6,T-1-7-5-6,T-1-7-5-6,-33.635,-33.635,27,-34,-34,-27
5,6,2,7,38,36,2-7-5-6,T-2-7-5-6,T-2-7-5-6,-32.55,-33.635,26,-34,-34,-26
6,6,1,7,46,36,1-7-6-6,T-1-7-6-6,T-1-7-6-6,-23.87,-33.635,18,-34,-34,-18
6,6,2,7,47,36,2-7-6-6,T-2-7-6-6,T-2-7-6-6,-22.785,-33.635,17,-34,-34,-17
7,6,1,7,55,36,1-7-7-6,T-1-7-7-6,T-1-7-7-6,-14.105,-33.635,9,-34,-34,-9
7,6,2,7,56,36,2-7-7-6,T-2-7-7-6,T-2-7-7-6,-13.02,-33.635,8,-34,-34,-8
8,6,1,7,64,36,1-7-8-6,T-1-7-8-6,T-1-7-8-6,-4.34,-33.635,0,-34,-34,0
8,6,2,7,65,36,2-7-8-6,T-2-7-8-6,T-2-7-8-6,-3.255,-33.635,-1,-34,-34,1
9,6,1,7,73,36,1-7-9-6,T-1-7-9-6,T-1-7-9-6,5.425,-33.635,-9,-34,-34,9
9,6,2,7,74,36,2-7-9-6,T-2-7-9-6,T-2-7-9-6,6.51,-33.635,-10,-34,-34,10
10,6,1,7,82,36,1-7-10-6,T-1-7-10-6,T-1-7-10-6,15.19,-33.635,-18,-34,-34,18
10,6,2,7,83,36,2-7-10-6,T-2-7-10-6,T-2-7-10-6,16.275,-33.635,-19,-34,-34,19
11,6,1,7,91,36,1-7-11-6,T-1-7-11-6,T-1-7-11-6,24.955,-33.635,-27,-34,-34,27
11,6,2,7,92,36,2-7-11-6,T-2-7-11-6,T-2-7-11-6,26.04,-33.635,-28,-34,-34,28
12,6,1,7,100,36,1-7-12-6,T-1-7-12-6,T-1-7-12-6,34.72,-33.635,-36,-34,-34,36
12,6,2,7,101,36,2-7-12-6,T-2-7-12-6,T-2-7-12-6,35.805,-33.635,-37,-34,-34,37
13,6,1,7,109,36,1-7-13-6,T-1-7-13-6,T-1-7-13-6,44.485,-33.635,-45,-34,-34,45
13,6,2,7,110,36,2-7-13-6,T-2-7-13-6,T-2-7-13-6,45.57,-33.635,-46,-34,-34,46
14,6,1,7,118,36,1-7-14-6,T-1-7-14-6,T-1-7-14-6,54.25,-33.635,-54,-34,-34,54
14,6,2,7,119,36,2-7-14-6,T-2-7-14-6,T-2-7-14-6,55.335,-33.635,-55,-34,-34,55
2,7,1,7,10,43,1-7-2-7,T-1-7-2-7,T-1-7-2-7,-62.93,-26.04,54,-27,-27,-54
2,7,2,7,11,43,2-7-2-7,T-2-7-2-7,T-2-7-2-7,-61.845,-26.04,53,-27,-27,-53
3,7,1,7,19,43,1-7-3-7,T-1-7-3-7,T-1-7-3-7,-53.165,-26.04,45,-27,-27,-45
3,7,2,7,20,43,2-7-3-7,T-2-7-3-7,T-2-7-3-7,-52.08,-26.04,44,-27,-27,-44
4,7,1,7,28,43,1-7-4-7,T-1-7-4-7,T-1-7-4-7,-43.4,-26.04,36,-27,-27,-36
4,7,2,7,29,43,2-7-4-7,T-2-7-4-7,T-2-7-4-7,-42.315,-26.04,35,-27,-27,-35
5,7,1,7,37,43,1-7-5-7,T-1-7-5-7,T-1-7-5-7,-33.635,-26.04,27,-27,-27,-27
5,7,2,7,38,43,2-7-5-7,T-2-7-5-7,T-2-7-5-7,-32.55,-26.04,26,-27,-27,-26
6,7,1,7,46,43,1-7-6-7,T-1-7-6-7,T-1-7-6-7,-23.87,-26.04,18,-27,-27,-18
6,7,2,7,47,43,2-7-6-7,T-2-7-6-7,T-2-7-6-7,-22.785,-26.04,17,-27,-27,-17
7,7,1,7,55,43,1-7-7-7,T-1-7-7-7,T-1-7-7-7,-14.105,-26.04,9,-27,-27,-9
7,7,2,7,56,43,2-7-7-7,T-2-7-7-7,T-2-7-7-7,-13.02,-26.04,8,-27,-27,-8
8,7,1,7,64,43,1-7-8-7,T-1-7-8-7,T-1-7-8-7,-4.34,-26.04,0,-27,-27,0
8,7,2,7,65,43,2-7-8-7,T-2-7-8-7,T-2-7-8-7,-3.255,-26.04,-1,-27,-27,1
9,7,1,7,73,43,1-7-9-7,T-1-7-9-7,T-1-7-9-7,5.425,-26.04,-9,-27,-27,9
9,7,2,7,74,43,2-7-9-7,T-2-7-9-7,T-2-7-9-7,6.51,-26.04,-10,-27,-27,10
10,7,1,7,82,43,1-7-10-7,T-1-7-10-7,T-1-7-10-7,15.19,-26.04,-18,-27,-27,18
10,7,2,7,83,43,2-7-10-7,T-2-7-10-7,T-2-7-10-7,16.275,-26.04,-19,-27,-27,19
11,7,1,7,91,43,1-7-11-7,T-1-7-11-7,T-1-7-11-7,24.955,-26.04,-27,-27,-27,27
11,7,2,7,92,43,2-7-11-7,T-2-7-11-7,T-2-7-11-7,26.04,-26.04,-28,-27,-27,28
12,7,1,7,100,43,1-7-12-7,T-1-7-12-7,T-1-7-12-7,34.72,-26.04,-36,-27,-27,36
12,7,2,7,101,43,2-7-12-7,T-2-7-12-7,T-2-7-12-7,35.805,-26.04,-37,-27,-27,37
13,7,1,7,109,43,1-7-13-7,T-1-7-13-7,T-1-7-13-7,44.485,-26.04,-45,-27,-27,45
13,7,2,7,110,43,2-7-13-7,T-2-7-13-7,T-2-7-13-7,45.57,-26.04,-46,-27,-27,46
14,7,1,7,118,43,1-7-14-7,T-1-7-14-7,T-1-7-14-7,54.25,-26.04,-54,-27,-27,54
14,7,2,7,119,43,2-7-14-7,T-2-7-14-7,T-2-7-14-7,55.335,-26.04,-55,-27,-27,55
2,8,1,7,10,50,1-7-2-8,T-1-7-2-8,T-1-7-2-8,-62.93,-18.445,54,-20,-20,-54
2,8,2,7,11,50,2-7-2-8,T-2-7-2-8,T-2-7-2-8,-61.845,-18.445,53,-20,-20,-53
3,8,1,7,19,50,1-7-3-8,T-1-7-3-8,T-1-7-3-8,-53.165,-18.445,45,-20,-20,-45
3,8,2,7,20,50,2-7-3-8,T-2-7-3-8,T-2-7-3-8,-52.08,-18.445,44,-20,-20,-44
4,8,1,7,28,50,1-7-4-8,T-1-7-4-8,T-1-7-4-8,-43.4,-18.445,36,-20,-20,-36
4,8,2,7,29,50,2-7-4-8,T-2-7-4-8,T-2-7-4-8,-42.315,-18.445,35,-20,-20,-35
5,8,1,7,37,50,1-7-5-8,T-1-7-5-8,T-1-7-5-8,-33.635,-18.445,27,-20,-20,-27
5,8,2,7,38,50,2-7-5-8,T-2-7-5-8,T-2-7-5-8,-32.55,-18.445,26,-20,-20,-26
6,8,1,7,46,50,1-7-6-8,T-1-7-6-8,T-1-7-6-8,-23.87,-18.445,18,-20,-20,-18
6,8,2,7,47,50,2-7-6-8,T-2-7-6-8,T-2-7-6-8,-22.785,-18.445,17,-20,-20,-17
7,8,1,7,55,50,1-7-7-8,T-1-7-7-8,T-1-7-7-8,-14.105,-18.445,9,-20,-20,-9
7,8,2,7,56,50,2-7-7-8,T-2-7-7-8,T-2-7-7-8,-13.02,-18.445,8,-20,-20,-8
8,8,1,7,64,50,1-7-8-8,T-1-7-8-8,T-1-7-8-8,-4.34,-18.445,0,-20,-20,0
8,8,2,7,65,50,2-7-8-8,T-2-7-8-8,T-2-7-8-8,-3.255,-18.445,-1,-20,-20,1
9,8,1,7,73,50,1-7-9-8,T-1-7-9-8,T-1-7-9-8,5.425,-18.445,-9,-20,-20,9
9,8,2,7,74,50,2-7-9-8,T-2-7-9-8,T-2-7-9-8,6.51,-18.445,-10,-20,-20,10
10,8,1,7,82,50,1-7-10-8,T-1-7-10-8,T-1-7-10-8,15.19,-18.445,-18,-20,-20,18
10,8,2,7,83,50,2-7-10-8,T-2-7-10-8,T-2-7-10-8,16.275,-18.445,-19,-20,-20,19
11,8,1,7,91,50,1-7-11-8,T-1-7-11-8,T-1-7-11-8,24.955,-18.445,-27,-20,-20,27
11,8,2,7,92,50,2-7-11-8,T-2-7-11-8,T-2-7-11-8,26.04,-18.445,-28,-20,-20,28
12,8,1,7,100,50,1-7-12-8,T-1-7-12-8,T-1-7-12-8,34.72,-18.445,-36,-20,-20,36
12,8,2,7,101,50,2-7-12-8,T-2-7-12-8,T-2-7-12-8,35.805,-18.445,-37,-20,-20,37
13,8,1,7,109,50,1-7-13-8,T-1-7-13-8,T-1-7-13-8,44.485,-18.445,-45,-20,-20,45
13,8,2,7,110,50,2-7-13-8,T-2-7-13-8,T-2-7-13-8,45.57,-18.445,-46,-20,-20,46
14,8,1,7,118,50,1-7-14-8,T-1-7-14-8,T-1-7-14-8,54.25,-18.445,-54,-20,-20,54
14,8,2,7,119,50,2-7-14-8,T-2-7-14-8,T-2-7-14-8,55.335,-18.445,-55,-20,-20,55
1,9,1,7,1,57,1-7-1-9,T-1-7-1-9,T-1-7-1-9,-72.695,-10.85,63,-13,-13,-63
1,9,2,7,2,57,2-7-1-9,T-2-7-1-9,T-2-7-1-9,-71.61,-10.85,62,-13,-13,-62
2,9,1,7,10,57,1-7-2-9,T-1-7-2-9,T-1-7-2-9,-62.93,-10.85,54,-13,-13,-54
2,9,2,7,11,57,2-7-2-9,T-2-7-2-9,T-2-7-2-9,-61.845,-10.85,53,-13,-13,-53
3,9,1,7,19,57,1-7-3-9,T-1-7-3-9,T-1-7-3-9,-53.165,-10.85,45,-13,-13,-45
3,9,2,7,20,57,2-7-3-9,T-2-7-3-9,T-2-7-3-9,-52.08,-10.85,44,-13,-13,-44
4,9,1,7,28,57,1-7-4-9,T-1-7-4-9,T-1-7-4-9,-43.4,-10.85,36,-13,-13,-36
4,9,2,7,29,57,2-7-4-9,T-2-7-4-9,T-2-7-4-9,-42.315,-10.85,35,-13,-13,-35
5,9,1,7,37,57,1-7-5-9,T-1-7-5-9,T-1-7-5-9,-33.635,-10.85,27,-13,-13,-27
5,9,2,7,38,57,2-7-5-9,T-2-7-5-9,T-2-7-5-9,-32.55,-10.85,26,-13,-13,-26
6,9,1,7,46,57,1-7-6-9,T-1-7-6-9,T-1-7-6-9,-23.87,-10.85,18,-13,-13,-18
6,9,2,7,47,57,2-7-6-9,T-2-7-6-9,T-2-7-6-9,-22.785,-10.85,17,-13,-13,-17
7,9,1,7,55,57,1-7-7-9,T-1-7-7-9,T-1-7-7-9,-14.105,-10.85,9,-13,-13,-9
7,9,2,7,56,57,2-7-7-9,T-2-7-7-9,T-2-7-7-9,-13.02,-10.85,8,-13,-13,-8
8,9,1,7,64,57,1-7-8-9,T-1-7-8-9,T-1-7-8-9,-4.34,-10.85,0,-13,-13,0
8,9,2,7,65,57,2-7-8-9,T-2-7-8-9,T-2-7-8-9,-3.255,-10.85,-1,-13,-13,1
9,9,1,7,73,57,1-7-9-9,T-1-7-9-9,T-1-7-9-9,5.425,-10.85,-9,-13,-13,9
9,9,2,7,74,57,2-7-9-9,T-2-7-9-9,T-2-7-9-9,6.51,-10.85,-10,-13,-13,10
10,9,1,7,82,57,1-7-10-9,T-1-7-10-9,T-1-7-10-9,15.19,-10.85,-18,-13,-13,18
10,9,2,7,83,57,2-7-10-9,T-2-7-10-9,T-2-7-10-9,16.275,-10.85,-19,-13,-13,19
11,9,1,7,91,57,1-7-11-9,T-1-7-11-9,T-1-7-11-9,24.955,-10.85,-27,-13,-13,27
11,9,2,7,92,57,2-7-11-9,T-2-7-11-9,T-2-7-11-9,26.04,-10.85,-28,-13,-13,28
12,9,1,7,100,57,1-7-12-9,T-1-7-12-9,T-1-7-12-9,34.72,-10.85,-36,-13,-13,36
12,9,2,7,101,57,2-7-12-9,T-2-7-12-9,T-2-7-12-9,35.805,-10.85,-37,-13,-13,37
13,9,1,7,109,57,1-7-13-9,T-1-7-13-9,T-1-7-13-9,44.485,-10.85,-45,-13,-13,45
13,9,2,7,110,57,2-7-13-9,T-2-7-13-9,T-2-7-13-9,45.57,-10.85,-46,-13,-13,46
14,9,1,7,118,57,1-7-14-9,T-1-7-14-9,T-1-7-14-9,54.25,-10.85,-54,-13,-13,54
14,9,2,7,119,57,2-7-14-9,T-2-7-14-9,T-2-7-14-9,55.335,-10.85,-55,-13,-13,55
15,9,1,7,127,57,1-7-15-9,T-1-7-15-9,T-1-7-15-9,64.015,-10.85,-63,-13,-13,63
15,9,2,7,128,57,2-7-15-9,T-2-7-15-9,T-2-7-15-9,65.1,-10.85,-64,-13,-13,64
1,10,1,7,1,64,1-7-1-10,T-1-7-1-10,T-1-7-1-10,-72.695,-3.255,63,-6,-6,-63
1,10,2,7,2,64,2-7-1-10,T-2-7-1-10,T-2-7-1-10,-71.61,-3.255,62,-6,-6,-62
2,10,1,7,10,64,1-7-2-10,T-1-7-2-10,T-1-7-2-10,-62.93,-3.255,54,-6,-6,-54
2,10,2,7,11,64,2-7-2-10,T-2-7-2-10,T-2-7-2-10,-61.845,-3.255,53,-6,-6,-53
3,10,1,7,19,64,1-7-3-10,T-1-7-3-10,T-1-7-3-10,-53.165,-3.255,45,-6,-6,-45
3,10,2,7,20,64,2-7-3-10,T-2-7-3-10,T-2-7-3-10,-52.08,-3.255,44,-6,-6,-44
4,10,1,7,28,64,1-7-4-10,T-1-7-4-10,T-1-7-4-10,-43.4,-3.255,36,-6,-6,-36
4,10,2,7,29,64,2-7-4-10,T-2-7-4-10,T-2-7-4-10,-42.315,-3.255,35,-6,-6,-35
5,10,1,7,37,64,1-7-5-10,T-1-7-5-10,T-1-7-5-10,-33.635,-3.255,27,-6,-6,-27
5,10,2,7,38,64,2-7-5-10,T-2-7-5-10,T-2-7-5-10,-32.55,-3.255,26,-6,-6,-26
6,10,1,7,46,64,1-7-6-10,T-1-7-6-10,T-1-7-6-10,-23.87,-3.255,18,-6,-6,-18
6,10,2,7,47,64,2-7-6-10,T-2-7-6-10,T-2-7-6-10,-22.785,-3.255,17,-6,-6,-17
7,10,1,7,55,64,1-7-7-10,T-1-7-7-10,T-1-7-7-10,-14.105,-3.255,9,-6,-6,-9
7,10,2,7,56,64,2-7-7-10,T-2-7-7-10,T-2-7-7-10,-13.02,-3.255,8,-6,-6,-8
8,10,1,7,64,64,1-7-8-10,T-1-7-8-10,T-1-7-8-10,-4.34,-3.255,0,-6,-6,0
8,10,2,7,65,64,2-7-8-10,T-2-7-8-10,T-2-7-8-10,-3.255,-3.255,-1,-6,-6,1
9,10,1,7,73,64,1-7-9-10,T-1-7-9-10,T-1-7-9-10,5.425,-3.255,-9,-6,-6,9
9,10,2,7,74,64,2-7-9-10,T-2-7-9-10,T-2-7-9-10,6.51,-3.255,-10,-6,-6,10
10,10,1,7,82,64,1-7-10-10,T-1-7-10-10,T-1-7-10-10,15.19,-3.255,-18,-6,-6,18
10,10,2,7,83,64,2-7-10-10,T-2-7-10-10,T-2-7-10-10,16.275,-3.255,-19,-6,-6,19
11,10,1,7,91,64,1-7-11-10,T-1-7-11-10,T-1-7-11-10,24.955,-3.255,-27,-6,-6,27
11,10,2,7,92,64,2-7-11-10,T-2-7-11-10,T-2-7-11-10,26.04,-3.255,-28,-6,-6,28
12,10,1,7,100,64,1-7-12-10,T-1-7-12-10,T-1-7-12-10,34.72,-3.255,-36,-6,-6,36
12,10,2,7,101,64,2-7-12-10,T-2-7-12-10,T-2-7-12-10,35.805,-3.255,-37,-6,-6,37
13,10,1,7,109,64,1-7-13-10,T-1-7-13-10,T-1-7-13-10,44.485,-3.255,-45,-6,-6,45
13,10,2,7,110,64,2-7-13-10,T-2-7-13-10,T-2-7-13-10,45.57,-3.255,-46,-6,-6,46
14,10,1,7,118,64,1-7-14-10,T-1-7-14-10,T-1-7-14-10,54.25,-3.255,-54,-6,-6,54
14,10,2,7,119,64,2-7-14-10,T-2-7-14-10,T-2-7-14-10,55.335,-3.255,-55,-6,-6,55
15,10,1,7,127,64,1-7-15-10,T-1-7-15-10,T-1-7-15-10,64.015,-3.255,-63,-6,-6,63
15,10,2,7,128,64,2-7-15-10,T-2-7-15-10,T-2-7-15-10,65.1,-3.255,-64,-6,-6,64
