PROCESS_NAME,PRODUCT_NAME,PRODUCT_FAMILY,DATE_TIME,PROGRAM,WAFER_ID,TEST_MODE,PROCESS_STEP,OPERATOR,SUBROUTINE,PROBER_ID,TESTER_ID,PROBE_CARD_ID,Z_OVERDRIVE_MILS,COLUMN_RETICLE,ROW_RETICLE,INTRA_COL,INTRA_ROW,ABS_COL,ABS_ROW,DIE_ID,RESISTANCE,ERROR
Reliability,CF1101,CF1100,2026-09-01 14:57:28.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,0.462562,
Reliability,CF1101,CF1100,2026-09-01 14:57:28.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,-520.229,
Reliability,CF1101,CF1100,2026-09-01 14:57:33.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,0.465234,
Reliability,CF1101,CF1100,2026-09-01 14:57:33.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,-648.263,
Reliability,CF1101,CF1100,2026-09-01 14:57:38.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,0.696113,
Reliability,CF1101,CF1100,2026-09-01 14:57:38.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,-59919.7,
Reliability,CF1101,CF1100,2026-09-01 14:57:43.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,0.463379,
Reliability,CF1101,CF1100,2026-09-01 14:57:43.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,98.9148,
Reliability,CF1101,CF1100,2026-09-01 14:57:48.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,0.465344,
Reliability,CF1101,CF1100,2026-09-01 14:57:48.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,143.868,
Reliability,CF1101,CF1100,2026-09-01 14:57:56.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,0.463739,
Reliability,CF1101,CF1100,2026-09-01 14:57:56.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,26.0468,
Reliability,CF1101,CF1100,2026-09-01 14:58:01.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,0.464437,
Reliability,CF1101,CF1100,2026-09-01 14:58:01.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,69.4745,
Reliability,CF1101,CF1100,2026-09-01 14:58:06.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,0.465622,
Reliability,CF1101,CF1100,2026-09-01 14:58:06.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,0.826009,
Reliability,CF1101,CF1100,2026-09-01 14:58:11.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,0.465697,
Reliability,CF1101,CF1100,2026-09-01 14:58:11.000Z,Cenfire,CENV-V-056-SPLIT1-w0085,Production,Inline,OPERATOR,Test_Structures,PROBE08,PROBE08,38314101-001,25,,,,,,,,535.246,
